,id_col,step_col,tmp_col
0,idx_0,INGEST,2024-10-27 17:52:48.378899
1,idx_1,INGEST,2024-10-27 18:01:23.378919
2,idx_1,PROCESSING,2024-10-27 18:06:13.378919
3,idx_2,INGEST,2024-10-27 17:49:39.378923
4,idx_3,INGEST,2024-10-27 17:37:37.378926
5,idx_4,INGEST,2024-10-27 17:32:21.378929
6,idx_4,PROCESSING,2024-10-27 17:51:11.378929
7,idx_5,INGEST,2024-10-27 17:39:29.378932
8,idx_5,PROCESSING,2024-10-27 17:49:52.378932
9,idx_5,INGEST,2024-10-27 17:50:25.378932
10,idx_5,PROCESSING,2024-10-27 17:55:29.378932
11,idx_5,WORKING,2024-10-27 18:36:51.378932
12,idx_6,INGEST,2024-10-27 17:53:15.378935
13,idx_7,INGEST,2024-10-27 17:31:27.378939
14,idx_8,INGEST,2024-10-27 17:57:07.378943
15,idx_8,PROCESSING,2024-10-27 18:04:25.378943
16,idx_8,ASSIGNED,2024-10-27 18:10:27.378943
17,idx_8,WORKING,2024-10-27 18:37:07.378943
18,idx_8,WORKING,2024-10-27 18:46:06.378943
19,idx_8,PENDING_APPROVAL,2024-10-27 19:07:47.378943
20,idx_8,APPROVED,2024-10-27 19:16:38.378943
21,idx_9,INGEST,2024-10-27 18:16:49.378946
22,idx_10,INGEST,2024-10-27 17:29:42.378949
23,idx_11,INGEST,2024-10-27 18:14:30.378951
24,idx_12,INGEST,2024-10-27 17:46:21.378954
25,idx_13,INGEST,2024-10-27 17:28:56.378956
26,idx_14,INGEST,2024-10-27 17:36:37.378959
27,idx_15,INGEST,2024-10-27 18:17:34.378961
28,idx_15,PROCESSING,2024-10-27 18:36:51.378961
29,idx_16,INGEST,2024-10-27 17:37:26.378963
30,idx_17,INGEST,2024-10-27 17:30:29.378966
31,idx_17,PROCESSING,2024-10-27 17:43:59.378966
32,idx_18,INGEST,2024-10-27 17:41:59.378968
33,idx_19,INGEST,2024-10-27 18:02:43.378970
34,idx_20,INGEST,2024-10-27 17:46:37.378973
35,idx_21,INGEST,2024-10-27 17:58:04.378975
36,idx_22,INGEST,2024-10-27 17:41:07.378977
37,idx_22,PROCESSING,2024-10-27 17:50:39.378977
38,idx_22,ASSIGNED,2024-10-27 17:54:22.378977
39,idx_23,INGEST,2024-10-27 17:57:25.378979
40,idx_23,PROCESSING,2024-10-27 18:15:18.378979
41,idx_23,ASSIGNED,2024-10-27 18:23:09.378979
42,idx_24,INGEST,2024-10-27 17:55:42.378982
43,idx_24,PROCESSING,2024-10-27 17:58:42.378982
44,idx_24,WORKING,2024-10-27 19:47:06.378982
45,idx_24,PENDING_APPROVAL,2024-10-27 20:01:03.378982
46,idx_24,APPROVED,2024-10-27 20:14:38.378982
47,idx_24,PROCESSING,2024-10-27 20:17:50.378982
48,idx_24,ASSIGNED,2024-10-27 20:25:32.378982
49,idx_25,INGEST,2024-10-27 17:49:56.378985
50,idx_26,INGEST,2024-10-27 17:45:50.378987
51,idx_27,INGEST,2024-10-27 17:59:18.378989
52,idx_28,INGEST,2024-10-27 18:05:14.378991
53,idx_29,INGEST,2024-10-27 18:13:28.378993
54,idx_30,INGEST,2024-10-27 18:03:22.378996
55,idx_30,PROCESSING,2024-10-27 18:08:00.378996
56,idx_30,PROCESSING,2024-10-27 18:11:56.378996
57,idx_30,INGEST,2024-10-27 18:12:58.378996
58,idx_31,INGEST,2024-10-27 17:38:25.378998
59,idx_32,INGEST,2024-10-27 17:51:25.379000
60,idx_33,INGEST,2024-10-27 17:41:10.379003
61,idx_33,PROCESSING,2024-10-27 17:58:48.379003
62,idx_33,WORKING,2024-10-27 19:57:30.379003
63,idx_34,INGEST,2024-10-27 17:31:34.379005
64,idx_35,INGEST,2024-10-27 17:28:31.379007
65,idx_36,INGEST,2024-10-27 18:15:42.379010
66,idx_36,PROCESSING,2024-10-27 18:28:12.379010
67,idx_36,INGEST,2024-10-27 18:28:46.379010
68,idx_37,INGEST,2024-10-27 17:31:36.379012
69,idx_37,PROCESSING,2024-10-27 17:51:29.379012
70,idx_37,PROCESSING,2024-10-27 17:53:53.379012
71,idx_37,ASSIGNED,2024-10-27 18:00:29.379012
72,idx_37,WORKING,2024-10-27 19:08:13.379012
73,idx_37,PENDING_APPROVAL,2024-10-27 19:26:16.379012
74,idx_37,APPROVED,2024-10-27 19:33:43.379012
75,idx_37,CLOSED,2024-10-27 19:33:43.379012
76,idx_38,INGEST,2024-10-27 18:10:12.379014
77,idx_39,INGEST,2024-10-27 18:14:53.379017
78,idx_40,INGEST,2024-10-27 18:15:25.379020
79,idx_40,PROCESSING,2024-10-27 18:20:10.379020
80,idx_40,WORKING,2024-10-27 18:43:21.379020
